id,state,name
358,10,SAN JUAN DEL RIO
359,10,SANTA CLARA
360,10,SUCHIL
361,10,VICENTE GUERRERO
362,10,DURANGO
363,11,ATARJEA
364,11,DOCTOR MORA
365,11,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL
366,11,SAN LUIS DE LA PAZ
367,11,SANTA CATARINA
368,11,TIERRA BLANCA
369,11,VICTORIA
370,11,XICHU
371,11,SAN MIGUEL DE ALLENDE
372,11,CELAYA
373,11,COMONFORT
374,11,SAN JOSE ITURBIDE
375,11,LEON
376,11,GUANAJUATO
377,11,OCAMPO
378,11,SAN DIEGO DE LA UNION
379,11,SAN FELIPE
380,11,LEON
381,11,LEON
382,11,MANUEL DOBLADO
383,11,CUERAMARO
384,11,PURISIMA DEL RINCON
385,11,ROMITA
386,11,SAN FRANCISCO DEL RINCON
387,11,SALAMANCA
388,11,SANTA CRUZ DE JUVENTINO ROSAS
389,11,VILLAGRAN
390,11,IRAPUATO
391,11,SILAO DE LA VICTORIA
392,11,CORTAZAR
393,11,JARAL DEL PROGRESO
394,11,MOROLEON
395,11,SALVATIERRA
396,11,SANTIAGO MARAVATIO
397,11,URIANGATO
398,11,YURIRIA
399,11,LEON
400,11,CELAYA
401,11,ABASOLO
402,11,HUANIMARO
403,11,PENJAMO
404,11,PUEBLO NUEVO
405,11,VALLE DE SANTIAGO
406,11,ACAMBARO
407,11,APASEO EL ALTO
408,11,APASEO EL GRANDE
409,11,CORONEO
410,11,JERECUARO
411,11,TARANDACUAO
412,11,TARIMORO
413,11,IRAPUATO
414,12,AJUCHITLAN DEL PROGRESO
415,12,APAXTLA
416,12,ARCELIA
417,12,BUENAVISTA DE CUELLAR
418,12,COYUCA DE CATALAN
419,12,CUETZALA DEL PROGRESO
420,12,CUTZAMALA DE PINZON
421,12,GENERAL CANUTO A. NERI
422,12,IXCATEOPAN DE CUAUHTEMOC
423,12,PEDRO ASCENCIO ALQUISIRAS
424,12,PILCAYA
425,12,PUNGARABATO
426,12,SAN MIGUEL TOTOLAPAN
427,12,TAXCO DE ALARCON
428,12,TELOLOAPAN
429,12,TETIPAC
430,12,TLALCHAPA
431,12,TLAPEHUALA
432,12,ZIRANDARO
433,12,ACAPULCO DE JUAREZ
434,12,ATOYAC DE ALVAREZ
435,12,BENITO JUAREZ
436,12,COAHUAYUTLA DE JOSE MARIA IZAZAGA
437,12,COYUCA DE BENITEZ
438,12,ZIHUATANEJO DE AZUETA
439,12,PETATLAN
440,12,TECPAN DE GALEANA
441,12,LA UNION DE ISIDORO MONTES DE OCA
442,12,ACAPULCO DE JUAREZ
443,12,AHUACUOTZINGO
444,12,ALCOZAUCA DE GUERRERO
445,12,ALPOYECA
446,12,ATLAMAJALCINGO DEL MONTE
447,12,ATLIXTAC
448,12,COPANATOYAC
449,12,CUALAC
450,12,CHILAPA DE ALVAREZ
451,12,HUAMUXTITLAN
452,12,MALINALTEPEC
453,12,METLATONOC
454,12,OLINALA
455,12,SAN LUIS ACATLAN
456,12,TLACOAPA
457,12,TLALIXTAQUILLA DE MALDONADO
458,12,TLAPA DE COMONFORT
459,12,XALPATLAHUAC
460,12,XOCHIHUEHUETLAN
